"","Team","Wins","WinPct","Season","WAR.Mean","wOBA.Mean","wRC.Mean","WAR.Spread","wOBA.Spread","wRC.Spread"
"153","Reds",78,0.481481481,2002,2.025,0.331875,97.875,1.84371519337606,0.0356227756197793,23.5762440968507
"154","Reds",66,0.407407407,2001,0.955555555555556,0.331555555555556,95.6666666666667,1.22383731671239,0.049809916460257,32.0039060116105
"155","Reds",85,0.524691358,2000,2.16363636363636,0.360909090909091,107.272727272727,1.60391566316482,0.0370525425455651,23.6604772102801
"156","Reds",96,0.592592593,1999,3.17,0.3607,107.3,1.4996666296214,0.022886434604125,14.4302922123335
"157","Reds",77,0.475308642,1998,2.04285714285714,0.345,105.142857142857,1.83471809174883,0.0281720902076269,18.3251063792144
"158","Reds",76,0.469135802,1997,0.691666666666667,0.323333333333333,91.25,1.29997086214432,0.039873284137111,26.2093841625823
"159","Reds",81,0.5,1996,1.62727272727273,0.341818181818182,106.090909090909,2.11428044927389,0.0410750975210484,27.7973183794932
"160","Indians",91,0.561728395,2018,2.86666666666667,0.336777777777778,108.777777777778,3.00749064836451,0.0321122164361858,22.0328038262143
"161","Indians",102,0.62962963,2017,2.6,0.346,111.9,1.97596671137052,0.0338460567209174,22.9755909124831
"162","Indians",94,0.580246914,2016,2.32,0.3239,98.1,2.13998961575881,0.0490361544622378,33.6731016952371
"163","Indians",81,0.5,2015,1.75555555555556,0.311,93.5555555555556,1.8987569032864,0.0414939754663252,28.6230288016097
"164","Indians",85,0.524691358,2014,1.55,0.3156,100.2,2.55745098790877,0.0385031023281097,26.6449911907577
"165","Indians",92,0.567901235,2013,2.11818181818182,0.327727272727273,106.818181818182,1.46411623979668,0.0351513610236955,24.1818865344215
"166","Indians",68,0.419753086,2012,1.2,0.319111111111111,102.777777777778,1.73493515728975,0.0286288510267372,19.607254893137
"167","Indians",80,0.49382716,2011,1,0.321333333333333,103.666666666667,1.52233373476383,0.0262059153627573,17.7270979012358
"168","Indians",69,0.425925926,2010,0.57,0.3046,89.4,2.22812826281513,0.0429216340167364,29.0409672321322
